Username,Username Length_x,Username Digits_x,Username Special Chars_x,Full Name_x,Full Name Length_x,Full Name Words_x,Username Similarity_x,Has Profile Pic_x,Profile Pic Path_x,Bio_x,Bio Length_x,Bio Words_x,Bio Has Suspicious_x,External URL_x,Has External URL_x,Is Private_x,Number of Posts_x,Followers_x,Following_x,Username Length_y,Username Digits_y,Username Special Chars_y,Full Name_y,Full Name Length_y,Full Name Words_y,Username Similarity_y,Has Profile Pic_y,Profile Pic Path_y,Bio_y,Bio Length_y,Bio Words_y,Bio Has Suspicious_y,External URL_y,Has External URL_y,Is Private_y,Number of Posts_y,Followers_y,Following_y
sayantaniliza9836,17,4,0,Sayantani Das,13,2,0,1,profile_pictures/sayantaniliza9836_profile_pic.jpg,"Bong girl 👧
Peace lover ❤️❤️
🎧🎵🎶 music addicted 
Photography addicted 📷🎥📸
 My day 16 th march 🥳🎉🥰",97,18,0,https://www.facebook.com/sayantani.das.585559,1,FALSE,608,1350,7564,17,4,0,Sayantani Das,13,2,0,1,profile_pictures/sayantaniliza9836_profile_pic.jpg,"Bong girl 👧
Peace lover ❤️❤️
🎧🎵🎶 music addicted 
Photography addicted 📷🎥📸
 My day 16 th march 🥳🎉🥰",97,18,0,https://www.facebook.com/sayantani.das.585559,1,FALSE,611,1310,7564
orophile02_,11,2,0,Kajori Roy,10,2,0,1,profile_pictures/orophile02__profile_pic.jpg,"Ex lfsian🥹
Brookian✨
Moody,Floaty and Fire🌈",43,6,0,,0,TRUE,16,1161,1765,11,2,0,Kajori Roy,10,2,0,1,profile_pictures/orophile02__profile_pic.jpg,"Ex lfsian🥹
Brookian✨
Moody,Floaty and Fire🌈",43,6,0,,0,TRUE,16,1167,1758
stfusandraa,11,0,0,𝗢𝘇𝘆𝘆<𝟑,6,1,0,1,profile_pictures/stfusandraa_profile_pic.jpg,@whadafaak,10,1,0,,0,TRUE,0,1272,841,11,0,0,𝗢𝘇𝘆𝘆<𝟑,6,1,0,1,profile_pictures/stfusandraa_profile_pic.jpg,@whadafaak,10,1,0,,0,TRUE,0,1261,846
mithi_09_,9,2,0,mithii....❣️,12,1,0,1,profile_pictures/mithi_09__profile_pic.jpg,🕊️,2,1,0,,0,TRUE,54,487,374,9,2,0,mithii....❣️,12,1,0,1,profile_pictures/mithi_09__profile_pic.jpg,🕊️,2,1,0,,0,TRUE,54,487,377
imlaavinia,10,0,0,🪻🦋,2,1,0,1,profile_pictures/imlaavinia_profile_pic.jpg,Our History- Our life 📜,23,5,0,,0,TRUE,0,30,480,10,0,0,🪻🦋,2,1,0,1,profile_pictures/imlaavinia_profile_pic.jpg,Our History- Our life 📜,23,5,0,,0,TRUE,0,29,488
miss_dasssss,12,0,0,Titli Das,9,2,0,1,profile_pictures/miss_dasssss_profile_pic.jpg,U change the whole world by being yourself 🎐,44,9,0,,0,FALSE,171,806,438,12,0,0,Titli Das,9,2,0,1,profile_pictures/miss_dasssss_profile_pic.jpg,U change the whole world by being yourself 🎐,44,9,0,,0,FALSE,171,806,439
gayathree_mohan,15,0,0,Gayathri Mohan,14,2,0,1,profile_pictures/gayathree_mohan_profile_pic.jpg,🎶 is the 💪 form of 💫,20,7,0,,0,TRUE,12,293,7336,15,0,0,Gayathri Mohan,14,2,0,1,profile_pictures/gayathree_mohan_profile_pic.jpg,🎶 is the 💪 form of 💫,20,7,0,,0,TRUE,12,292,7424
mansibajpai92,13,2,0,Mansi Bajpai,12,2,0,1,profile_pictures/mansibajpai92_profile_pic.jpg,"𝒊𝒏𝒕𝒖𝒊𝒕𝒊𝒐𝒏 - 𝒇𝒂𝒗𝒐𝒓𝒊𝒕𝒆 𝒔𝒖𝒑𝒆𝒓𝒑𝒐𝒘𝒆𝒓. 
Exploring adventure ⛰️ 🌊 
Love of laughter😆 🤭  
Believer in power of kindness🌼 🌹  
Spreading smiles😀",134,20,0,,0,TRUE,59,917,2107,13,2,0,Mansi Bajpai,12,2,0,1,profile_pictures/mansibajpai92_profile_pic.jpg,"𝒊𝒏𝒕𝒖𝒊𝒕𝒊𝒐𝒏 - 𝒇𝒂𝒗𝒐𝒓𝒊𝒕𝒆 𝒔𝒖𝒑𝒆𝒓𝒑𝒐𝒘𝒆𝒓. 
Exploring adventure ⛰️ 🌊 
Love of laughter😆 🤭  
Believer in power of kindness🌼 🌹  
Spreading smiles😀",134,20,0,,0,TRUE,58,916,2110
shefali972,10,3,0,Shefi,5,1,0,1,profile_pictures/shefali972_profile_pic.jpg,,0,0,0,,0,TRUE,0,388,2369,10,3,0,Shefi,5,1,0,1,profile_pictures/shefali972_profile_pic.jpg,,0,0,0,,0,TRUE,0,380,2366
ishika5557,10,4,0,ishika,6,1,1,1,profile_pictures/ishika5557_profile_pic.jpg,"Delhi📍
Fashion / style/ model",29,5,0,,0,FALSE,1,5,67,10,4,0,ishika,6,1,1,1,profile_pictures/ishika5557_profile_pic.jpg,"Delhi📍
Fashion / style/ model",29,5,0,,0,FALSE,1,7,72
sudha.yadav5,12,1,1,Sudha 🎀✨,8,2,0,1,profile_pictures/sudha.yadav5_profile_pic.jpg,Cute soul ♏️,12,3,0,,0,TRUE,5,26,49,12,1,1,Sudha 🎀✨,8,2,0,1,profile_pictures/sudha.yadav5_profile_pic.jpg,Cute soul ♏️,12,3,0,,0,TRUE,5,26,50
munmi__rajkhowa,15,0,0,Munmi Rajkhowa,14,2,0,1,profile_pictures/munmi__rajkhowa_profile_pic.jpg,"Positive mind positive life🌿🌸.
Wish me on 19 july 🥂",51,10,0,,0,FALSE,35,2147,247,15,0,0,Munmi Rajkhowa,14,2,0,1,profile_pictures/munmi__rajkhowa_profile_pic.jpg,"Positive mind positive life🌿🌸.
Wish me on 19 july 🥂",51,10,0,,0,FALSE,36,2147,255
na.gu5647,9,4,1,nagu,4,1,0,1,profile_pictures/na.gu5647_profile_pic.jpg,,0,0,0,,0,TRUE,0,1,1540,9,4,1,nagu,4,1,0,1,profile_pictures/na.gu5647_profile_pic.jpg,,0,0,0,,0,TRUE,0,1,1560
trishuuu4__,11,1,0,Dr.trisha mandal 🧿,18,3,0,1,profile_pictures/trishuuu4___profile_pic.jpg,,0,0,0,,0,TRUE,3,107,368,11,1,0,Dr.trisha mandal 🧿,18,3,0,1,profile_pictures/trishuuu4___profile_pic.jpg,,0,0,0,,0,TRUE,3,104,366
sarya.013,9,3,1,,0,0,1,1,profile_pictures/sarya.013_profile_pic.jpg,,0,0,0,,0,TRUE,0,0,4,9,3,1,,0,0,1,1,profile_pictures/sarya.013_profile_pic.jpg,,0,0,0,,0,TRUE,0,0,4
shruti_paul140220,17,6,0,Shruti Paul,11,2,0,1,profile_pictures/shruti_paul140220_profile_pic.jpg,"🍔🍟Foody🍓
Creating a life ...i love🌸
....🦋🦋....",46,7,0,,0,TRUE,187,2067,208,17,6,0,Shruti Paul,11,2,0,1,profile_pictures/shruti_paul140220_profile_pic.jpg,"🍔🍟Foody🍓
Creating a life ...i love🌸
....🦋🦋....",46,7,0,,0,TRUE,187,2067,208
ahanadatta27,12,2,0,Ahana Datta (Dance With Ahana),30,5,0,1,profile_pictures/ahanadatta27_profile_pic.jpg,"💃Dancer💃
🎥You tube channel : Dance With Ahana
😄Fun loving 😜
😋Foodie 🍫🍧🍩🍕
💅Shopaholic 👗👠👛
😍 Dance is a rhythm of my life😍",120,23,0,https://youtu.be/H1_84CaXJL0,1,FALSE,395,1067,3781,12,2,0,Ahana Datta (Dance With Ahana),30,5,0,1,profile_pictures/ahanadatta27_profile_pic.jpg,"💃Dancer💃
🎥You tube channel : Dance With Ahana
😄Fun loving 😜
😋Foodie 🍫🍧🍩🍕
💅Shopaholic 👗👠👛
😍 Dance is a rhythm of my life😍",120,23,0,https://youtu.be/H1_84CaXJL0,1,FALSE,394,1069,3790
yashiyadav727,13,3,0,yashi yadav,11,2,0,1,profile_pictures/yashiyadav727_profile_pic.jpg,,0,0,0,,0,FALSE,0,2,24,13,3,0,yashi yadav,11,2,0,1,profile_pictures/yashiyadav727_profile_pic.jpg,,0,0,0,,0,FALSE,0,2,28
_queen_neha_officaial,21,0,0,Neha Rout,9,2,0,1,profile_pictures/_queen_neha_officaial_profile_pic.jpg,♥️N_e_h_a♥️ welcome to my profile 💖selfy_queen💖_dance_lovers💖 attitude 🔥 see translations 🎉 birthday wishes me-30april🎂,119,14,0,,0,TRUE,38,100,168,21,0,0,Neha Rout,9,2,0,1,profile_pictures/_queen_neha_officaial_profile_pic.jpg,♥️N_e_h_a♥️ welcome to my profile 💖selfy_queen💖_dance_lovers💖 attitude 🔥 see translations 🎉 birthday wishes me-30april🎂,119,14,0,,0,TRUE,38,101,184
riy.uuu41,9,2,1,riyaa,5,1,0,1,profile_pictures/riy.uuu41_profile_pic.jpg,myself,6,1,0,,0,TRUE,0,1,151,9,2,1,riyaa,5,1,0,1,profile_pictures/riy.uuu41_profile_pic.jpg,myself,6,1,0,,0,TRUE,0,1,202
sarita_tudu12,13,2,0,Sarita Tudu,11,2,0,1,profile_pictures/sarita_tudu12_profile_pic.jpg,_11:11✨️,8,1,0,,0,FALSE,7,214,149,13,2,0,Sarita Tudu,11,2,0,1,profile_pictures/sarita_tudu12_profile_pic.jpg,_11:11✨️,8,1,0,,0,TRUE,7,214,147
thewalking_dead1923,19,4,0,,0,0,1,1,profile_pictures/thewalking_dead1923_profile_pic.jpg,,0,0,0,,0,TRUE,0,40,1343,19,4,0,,0,0,1,1,profile_pictures/thewalking_dead1923_profile_pic.jpg,,0,0,0,,0,TRUE,0,40,1538
sonali_thakre_,14,0,0,SONALI 💫,8,2,0,1,profile_pictures/sonali_thakre__profile_pic.jpg,"Sagittarius ♐
🇮🇳💜",17,3,0,,0,TRUE,38,559,557,14,0,0,SONALI 💫,8,2,0,1,profile_pictures/sonali_thakre__profile_pic.jpg,"Sagittarius ♐
🇮🇳💜",17,3,0,,0,TRUE,38,562,559
olivia___477,12,3,0,olivia,6,1,1,1,profile_pictures/olivia___477_profile_pic.jpg,She/her,7,1,0,,0,TRUE,0,10,326,12,3,0,olivia,6,1,1,1,profile_pictures/olivia___477_profile_pic.jpg,She/her,7,1,0,,0,TRUE,0,10,325
wadhwani__sejal,15,0,0,Sejal_wadhwani..,16,1,0,1,profile_pictures/wadhwani__sejal_profile_pic.jpg,Udaipur 📍,9,2,0,,0,TRUE,0,181,631,15,0,0,Sejal_wadhwani..,16,1,0,1,profile_pictures/wadhwani__sejal_profile_pic.jpg,Udaipur 📍,9,2,0,,0,TRUE,0,183,638
sneha_dey_12345,15,5,0,Sneha Dey,9,2,0,1,profile_pictures/sneha_dey_12345_profile_pic.jpg,,0,0,0,,0,TRUE,80,0,89,15,5,0,Sneha Dey,9,2,0,1,profile_pictures/sneha_dey_12345_profile_pic.jpg,,0,0,0,,0,TRUE,82,0,89
hvzel_bell._,12,0,1,Eshu✨,5,1,0,1,profile_pictures/hvzel_bell.__profile_pic.jpg,"ॐ नमः शिवाय✨❤️
___________________
#ceraunophile🌻
""They r copying,but the paste ain't the same💅",95,13,0,,0,TRUE,6,114,317,12,0,1,Eshu✨,5,1,0,1,profile_pictures/hvzel_bell.__profile_pic.jpg,"ॐ नमः शिवाय✨❤️
___________________
#ceraunophile🌻
""They r copying,but the paste ain't the same💅",95,13,0,,0,TRUE,6,114,317
ankita_yogi_77,14,2,0,Ankita,6,1,1,1,profile_pictures/ankita_yogi_77_profile_pic.jpg,,0,0,0,,0,FALSE,0,6,19,14,2,0,Ankita,6,1,1,1,profile_pictures/ankita_yogi_77_profile_pic.jpg,,0,0,0,,0,FALSE,0,6,20
___parmar____06,15,2,0,🦋_SHIZUKA_🦋,11,1,0,1,profile_pictures/___parmar____06_profile_pic.jpg,"Effort, enthusiasm energy...🧸
💫 simplicity is the key to happiness 💫",68,11,0,,0,TRUE,0,40,829,15,2,0,🦋_SHIZUKA_🦋,11,1,0,1,profile_pictures/___parmar____06_profile_pic.jpg,"Effort, enthusiasm energy...🧸
💫 simplicity is the key to happiness 💫",68,11,0,,0,TRUE,0,39,895
aarohisharmaa_3,15,1,0,Aarohi Sharma,13,2,0,1,profile_pictures/aarohisharmaa_3_profile_pic.jpg,"LEADS FUNNELS || BUSINESS 📈
👉||Helped 500+ affiliate marketer to solve leads problems 
👉||Make Online Money @aarohi_mentor",122,17,1,https://t.me/aarohi_9650,1,FALSE,306,2703,198,15,1,0,Aarohi Sharma,13,2,0,1,profile_pictures/aarohisharmaa_3_profile_pic.jpg,"LEADS FUNNELS || BUSINESS 📈
👉||Helped 500+ affiliate marketer to solve leads problems 
👉||Make Online Money @aarohi_mentor",122,17,1,https://t.me/aarohi_9650,1,FALSE,316,2671,200
the_shalini_cooks,17,0,0,Shalini,7,1,1,1,profile_pictures/the_shalini_cooks_profile_pic.jpg,"Mom of 3❤️
👩🏻‍🍳Learn simple recipe.....✌️
Join the family 👇😃",60,10,0,https://youtube.com/channel/UCTjcwYfx-MzKaXDBoJY_rdg,1,FALSE,203,383,1135,17,0,0,Shalini,7,1,1,1,profile_pictures/the_shalini_cooks_profile_pic.jpg,"Mom of 3❤️
👩🏻‍🍳Learn simple recipe.....✌️
Join the family 👇😃",60,10,0,https://youtube.com/channel/UCTjcwYfx-MzKaXDBoJY_rdg,1,FALSE,203,384,1173
renu67421,9,5,0,Renu❤,5,1,0,1,profile_pictures/renu67421_profile_pic.jpg,,0,0,0,,0,TRUE,22,61,68,9,5,0,Renu❤,5,1,0,1,profile_pictures/renu67421_profile_pic.jpg,,0,0,0,,0,TRUE,22,61,69
simranchoudhury08,17,2,0,Choudhury Mushkan,17,2,0,1,profile_pictures/simranchoudhury08_profile_pic.jpg,"#▪️riligiousrituals
▪️log in 7th January 🥳 
▪️Jagannath ji ki sebak ❤️
▪️proud to be sanatani ⛳
▪️ animals lover
▪️@simranchoudhury08",133,20,0,,0,TRUE,47,1318,211,17,2,0,Choudhury Mushkan,17,2,0,1,profile_pictures/simranchoudhury08_profile_pic.jpg,"#▪️riligiousrituals
▪️log in 7th January 🥳 
▪️Jagannath ji ki sebak ❤️
▪️proud to be sanatani ⛳
▪️ animals lover
▪️@simranchoudhury08",133,20,0,,0,TRUE,47,1319,215
silshila_db,11,0,0,anzi🌼,5,1,0,1,profile_pictures/silshila_db_profile_pic.jpg,🌼🌼,2,1,0,,0,FALSE,9,102,754,11,0,0,anzi🌼,5,1,0,1,profile_pictures/silshila_db_profile_pic.jpg,🌼🌼,2,1,0,,0,FALSE,9,104,776
__anita__008,12,3,0,Anita Surendra,14,2,0,1,profile_pictures/__anita__008_profile_pic.jpg,❤️🔱Jai bholenath🔱❤️,19,2,0,,0,FALSE,673,164,452,12,3,0,Anita Surendra,14,2,0,1,profile_pictures/__anita__008_profile_pic.jpg,❤️🔱Jai bholenath🔱❤️,19,2,0,,0,FALSE,675,165,453
__snehagogoi,12,0,0,Snehaa!!,8,1,0,1,profile_pictures/__snehagogoi_profile_pic.jpg,18🪐,3,1,0,,0,TRUE,6,3775,273,12,0,0,Snehaa!!,8,1,0,1,profile_pictures/__snehagogoi_profile_pic.jpg,18🪐,3,1,0,,0,TRUE,7,3774,276
thela8785,9,4,0,deepa,5,1,0,1,profile_pictures/thela8785_profile_pic.jpg,,0,0,0,,0,FALSE,0,60,1300,9,4,0,deepa,5,1,0,1,profile_pictures/thela8785_profile_pic.jpg,,0,0,0,,0,FALSE,0,60,1306
bulbul.chaudhary001,19,3,1,Ƙαvya🦋,6,1,0,1,profile_pictures/bulbul.chaudhary001_profile_pic.jpg,"Entrepreneur 
🏆ONE OF YOUNGEST ACHIEVER OF INDIA 🇮🇳
🙋 Influencer ll 
Work with 👉 @achieversclubofficial 
DM me to work with me",126,21,0,http://surl.li/sdawd,1,FALSE,98,1409,181,19,3,1,Ƙαvya🦋,6,1,0,1,profile_pictures/bulbul.chaudhary001_profile_pic.jpg,"Entrepreneur 
🏆ONE OF YOUNGEST ACHIEVER OF INDIA 🇮🇳
🙋 Influencer ll 
Work with 👉 @achieversclubofficial 
DM me to work with me",126,21,0,http://surl.li/sdawd,1,FALSE,98,1417,188
hcddjc75,8,2,0,puspa,5,1,0,1,profile_pictures/hcddjc75_profile_pic.jpg,,0,0,0,,0,TRUE,3,75,133,8,2,0,puspa,5,1,0,1,profile_pictures/hcddjc75_profile_pic.jpg,,0,0,0,,0,TRUE,3,75,135
santoshii_ydvvv,15,0,0,,0,0,1,1,profile_pictures/santoshii_ydvvv_profile_pic.jpg,"s
thriving on chaos
• true no one💨",34,8,0,,0,TRUE,0,592,349,15,0,0,,0,0,1,1,profile_pictures/santoshii_ydvvv_profile_pic.jpg,"s
""till our next eclipse""
• true no one💨",40,9,0,,0,TRUE,0,600,356
_.vishnuprxyx._,15,0,2,𝖕𝖗𝖎𝖄𝖆💞,6,1,0,1,profile_pictures/_.vishnuprxyx.__profile_pic.jpg,,0,0,0,,0,TRUE,0,64,121,15,0,2,𝖕𝖗𝖎𝖄𝖆💞,6,1,0,1,profile_pictures/_.vishnuprxyx.__profile_pic.jpg,,0,0,0,,0,TRUE,0,63,123
raji_jogan,10,0,0,Rajeshwari jogan,16,2,0,1,profile_pictures/raji_jogan_profile_pic.jpg,,0,0,0,,0,TRUE,0,7,2441,10,0,0,Rajeshwari jogan,16,2,0,1,profile_pictures/raji_jogan_profile_pic.jpg,,0,0,0,,0,TRUE,0,7,2487
aradhya.ydv1,12,1,1,ਮਨਮੋਹਕ 🐼,8,2,0,1,profile_pictures/aradhya.ydv1_profile_pic.jpg,,0,0,0,,0,TRUE,0,40,166,12,1,1,ਮਨਮੋਹਕ 🐼,8,2,0,1,profile_pictures/aradhya.ydv1_profile_pic.jpg,,0,0,0,,0,TRUE,0,42,172
priya_dars,10,0,0,Priya,5,1,1,1,profile_pictures/priya_dars_profile_pic.jpg,"Priya😊
23
Shine like a star🌠",28,6,0,,0,TRUE,0,81,1543,10,0,0,Priya,5,1,1,1,profile_pictures/priya_dars_profile_pic.jpg,"Priya😊
23
Shine like a star🌠",28,6,0,,0,TRUE,0,81,1721
miamornamrm,11,0,0,,0,0,1,1,profile_pictures/miamornamrm_profile_pic.jpg,,0,0,0,,0,TRUE,0,0,77,11,0,0,,0,0,1,1,profile_pictures/miamornamrm_profile_pic.jpg,,0,0,0,,0,TRUE,0,0,81
s.a.n.i.y.a.j.a.i.s.w.a.l,25,0,12,SANIYA JAISWAL🦋,15,2,0,1,profile_pictures/s.a.n.i.y.a.j.a.i.s.w.a.l_profile_pic.jpg,radhey radhey,13,2,0,,0,TRUE,0,112,760,25,0,12,SANIYA JAISWAL🦋,15,2,0,1,profile_pictures/s.a.n.i.y.a.j.a.i.s.w.a.l_profile_pic.jpg,radhey radhey,13,2,0,,0,TRUE,0,111,769
amora_pix,9,0,0,AnNa,4,1,0,1,profile_pictures/amora_pix_profile_pic.jpg,,0,0,0,,0,TRUE,5,16,1289,9,0,0,AnNa,4,1,0,1,profile_pictures/amora_pix_profile_pic.jpg,,0,0,0,,0,TRUE,5,16,1371
shraddhaa48,11,2,0,श्रद्धा💎,8,1,0,1,profile_pictures/shraddhaa48_profile_pic.jpg,"𝑷𝒓𝒂𝒚 
𝑻𝒓𝒖𝒔𝒕 
𝑾𝒂𝒊𝒕",17,3,0,,0,FALSE,280,910,580,11,2,0,श्रद्धा💎,8,1,0,1,profile_pictures/shraddhaa48_profile_pic.jpg,"𝑷𝒓𝒂𝒚 
𝑻𝒓𝒖𝒔𝒕 
𝑾𝒂𝒊𝒕",17,3,0,,0,FALSE,281,910,595
itz_honey_23_,13,2,0,Supriya (mou),13,2,0,1,profile_pictures/itz_honey_23__profile_pic.jpg,"Radhe Radhe 🙏
🎓 Graduated 🎓
 From Kaliabor College 💚
Dance❣️",60,11,0,https://www.facebook.com/profile.php?id=100085156111219,1,FALSE,12,961,441,13,2,0,Supriya (mou),13,2,0,1,profile_pictures/itz_honey_23__profile_pic.jpg,"Radhe Radhe 🙏
🎓 Graduated 🎓
 From Kaliabor College 💚
Dance❣️",60,11,0,https://www.facebook.com/profile.php?id=100085156111219,1,FALSE,13,961,444
priyotabej,10,0,0,priyota bej,11,2,0,1,profile_pictures/priyotabej_profile_pic.jpg,follow my official account @i.priyotabej,40,5,0,,0,FALSE,3,66,21,10,0,0,priyota bej,11,2,0,1,profile_pictures/priyotabej_profile_pic.jpg,follow my official account @i.priyotabej,40,5,0,,0,FALSE,3,69,22
patelvaibhavi_.20,17,2,1,patelvaibhavi20,15,1,0,1,profile_pictures/patelvaibhavi_.20_profile_pic.jpg,💥,1,1,0,,0,TRUE,34,87,232,17,2,1,patelvaibhavi20,15,1,0,1,profile_pictures/patelvaibhavi_.20_profile_pic.jpg,💥,1,1,0,,0,TRUE,34,86,235
laavi_ie,8,0,0,,0,0,1,1,profile_pictures/laavi_ie_profile_pic.jpg,,0,0,0,,0,FALSE,0,32,765,8,0,0,,0,0,1,1,profile_pictures/laavi_ie_profile_pic.jpg,,0,0,0,,0,FALSE,0,31,774
ja.smeet905,11,3,1,Jasmeet,7,1,0,1,profile_pictures/ja.smeet905_profile_pic.jpg,,0,0,0,,0,TRUE,99,152,337,11,3,1,Jasmeet,7,1,0,1,profile_pictures/ja.smeet905_profile_pic.jpg,,0,0,0,,0,TRUE,99,152,342
nikitasontakke29,16,2,0,Nikita Sontakke,15,2,0,1,profile_pictures/nikitasontakke29_profile_pic.jpg,🌸,1,1,0,,0,TRUE,77,994,1046,16,2,0,Nikita Sontakke,15,2,0,1,profile_pictures/nikitasontakke29_profile_pic.jpg,🌸,1,1,0,,0,TRUE,77,996,1044
__._vanshikaa_,14,0,1,Vanshika,8,1,1,1,profile_pictures/__._vanshikaa__profile_pic.jpg,Rollin in the feels.,20,4,0,,0,TRUE,0,217,435,14,0,1,Vanshika,8,1,1,1,profile_pictures/__._vanshikaa__profile_pic.jpg,Rollin in the feels.,20,4,0,,0,TRUE,0,224,445
monarawat_54,12,2,0,Monika Rawat,12,2,0,1,profile_pictures/monarawat_54_profile_pic.jpg,🕉️,2,1,0,,0,TRUE,0,66,131,12,2,0,Monika Rawat,12,2,0,1,profile_pictures/monarawat_54_profile_pic.jpg,🕉️,2,1,0,,0,TRUE,0,66,128
diya__nebhnani__16,18,2,0,Diksha Nebhnani,15,2,0,1,profile_pictures/diya__nebhnani__16_profile_pic.jpg,,0,0,0,,0,TRUE,2,328,420,18,2,0,Diksha Nebhnani,15,2,0,1,profile_pictures/diya__nebhnani__16_profile_pic.jpg,,0,0,0,,0,TRUE,2,326,421
babygirll__10,13,2,0,K A V U🍕,8,4,0,1,profile_pictures/babygirll__10_profile_pic.jpg,"Be Your Own Reason To Smile 🌸✨
Self Obsessed 👀❤️
My Day 10 October 🥂
Teacher ✨❤",79,17,0,,0,FALSE,13,139,27,13,2,0,K A V U🍕,8,4,0,1,profile_pictures/babygirll__10_profile_pic.jpg,"Be Your Own Reason To Smile 🌸✨
Self Obsessed 👀❤️
My Day 10 October 🥂
Teacher ✨❤",79,17,0,,0,FALSE,13,135,28
